Sno,User,Rating,Review
106,Ever Mercadal,2,"Really the best is Telegram. This apps makes more space. This app is not-based on cloud. Needs Google Drive to upload things. I don't find privacy. Can't clean cache, because deletes important content. Only the good things are the calls, end-to-end message encryption and status, but all the rest are bad. Please, be more good like Telegram."
107,Arul Prakasar,3,Hi. For the past few hours I think whatsapp calls are not working. If there is an incoming or outgoing call we can't hear each other. We tried few times and it's still the same. Whatsapp has to take some serious action on this because people are using social media often in their daily life and it will be difficult when 1 of the features is not been working properly.
108,Ankan Chakraborty,2,"This upfate of whats app is closing automatically in my htc phone. I have using whats app on this phone since 2015. First time it happened. While im scrolling whats app to see my friend list, whats app closes automatically. My request to see this problem and fix it soon. Whats app is closing automatically while using it. Would you fix this problem in the next update please. I am facing much difficulty. Please fix it soon. Reply please."
109,Marlene Du Preez,2,Since the last update the app is not working well. The keyboard disappears and the screen goes black and the app exits by itself. If I was busy typing something it also disappears and then I must start again. And other times the app freezes. Please fix this problem! I see many people are complaining about the same problem!
110,Monique Morrison,3,"The status page has a bug that happens whenever I'm going through statuses, if I swipe down to exit, it just scrolls over to a next persons status and the interface gets stuck that way (switching statuses) until I land on one that allows me to swipe down and exit. It's really annoying. I'm sure I'm not the only person with this issue."
111,Alina R.,1,"This is my first review on Play ever. I have been using WhatsApp since 2014 and - maaan - what have you done to the App in the last update (September 17, 2020) that it is literally impossible to use it?? I can not type more than 3 words, the app freezes and jumps back to the contact list, I had to be inventive and write messages with the simplest Notes app(!!) and quickly paste it in WhatsApp, I can not listen to the audio messages (freezes and jumps back), can not record mine longer than some seconds etc etc. I've even tried the ""deleting-reinstalling"" for the first time since 2014. Didn't help. We need a new update without bugs or roll it back, urgently."
112,Micah Brown,1,"Ever since the update it has been crashing every time I open it. The app will just close by itself while i look at status, record voice notes, or even when i have it just there open it wont even back up my messages anymore, please fix this issue. I know im not the only one experiencing this problem. This began happening when the update was done approx, two days before today."
113,Ehsan samimipour,1,It's an aweful app; other side sees when you delet your massage ; it doesn't have any cloud storage like telegram; it doesn't have app for iPad; you can't have your massage on each of your devices like telegram;only one device it supports ; it's security is great ; but why should be so worried about security? What are we? Terrorists???
114,Dinesh Chandru,1,I just found 2 errors PLEASE CLEAR AND DO THE NEEDFUL 1.Lastseen error even when the user is online it still shows lastseen for them. (To verify I asked them to send screenshot they where in chat window (online) but shows offline.) 2. I can't see status of one single person though they didn't hide STATUS FROM ME it still doesn't show up to me. ( To verify that I aske them to change the whatsapp status privacy to only me but then too it doesn't show up to me) WHY IS THAT SO? PLEASE HELP ME FIX
115,diwakar deo,5,"Great app. In these corona times, the app is a lifesaver as our school is connected through and largely dependent on whatsapp communications. I had a suggestion for improvement though which would help me work effectively. When I add a shortcut of a group to the homescreen, I am unable to see a message received notification on the shortcut icon. If that is done, it would help me immensely as I would not require to go to the main app and comb through different groups. Thank you"
116,Giddy Maps,2,"The latest version is giving me endless headaches. It keeps telling me ""Unfortunately Whatsapp has stopped."" Then it restarts. Its very frustrating when does that when i am midway through typing a long message and i have start all over again. Please fix this problem or kindly advise on how to get round this. Thank you."
117,Richa Jain,2,Thank God I got my WhatsApp back You just have to uninstall your WhatsApp and then install it back You will get your WhatsApp back Tried and tested Its call your WhatsApp has been crashed Because your mobile OS version on any other version doesn't support WhatsApp latest version
118,Manoj Kumaran,3,I do get reconnecting issue in whatsapp call when the screen light goes off. Once I press any button the issue is no more. Sometimes I don't hear anything from the speaker when the screen light goes off. Its very irritating to maintain the screen light for a call. Please fix this issue or someone suggest me if i need to change anything in settings. I am using samsung note 9.
119,Kirti Ruparelia,1,"Not good service at all. Unable to connect to Wifi internet for the last whole week. Too much struggle and very unhappy as I'm paying full amount each month by direct debit. not connection at all. Please help to solve wifi problems asap. Unhappy 3 customer. 3, Why ask questions when I can't even post my reply as it is blocked to even send to 3. What going on? Need 3to help solve my internet problems and get wifi on asap."
120,Thomas George,3,"Since the last update, the app has been showing some bugs. While swiping down to close a status, it just skips to the next one or plays the audio in background. It would be awesome if you could add a feature to login multiple accounts in the same app instead of using WA Business."
121,Amartya Raghuvanshi,1,"It has many bugs and by many i mean like infinite bugs,even after using a handset with snapdragon 855plus handset , my google keyboard crashes all the time while being spescifically in whatsapp only, sometimes it dosnt let me download any media even after being on a super fast network i have to like force stop whatsapp to make it work again , another issue is that sometimes it just freezes i.e only whatsapp freezes,my phone works just fine but whatsapp doesnt,sometimes it doesnt even open chats."
122,Use : sGAMER App! Get IOK DoIars,5,Since the last update the app is not working well. The keyboard disappears and the screen goes black and the app exits by itself. If I was busy typing something it also disappears and then I must start again. And other times the app freezes. Please fix this problem! I see many people are complaining about the same problem!
123,Youcarlie Joseph,1,I cant receive a message without taking it an hour. sending messages is unusual unless I'm connected to wifi .I can't post on my status because it doesent want to load I can't send pictures .same problems since I upgraded it doesn't want to login I now have uninstalled and yet to see if it will work. Help!
124,VC SaradaDevi,2,"After updating Whatsap...The what's app is not working properly and not stable to watch any statues and to chat properly... This problem is too disturbing\U0001f620 users like me... Update your updates for all of us... If you not take any action,slowly what's app users will decrease gradually... Take care and Be careful on what's app updates.\U0001f609\U0001f609\U0001f609"
125,Richard Kline,3,"This is a good app, but it won't be great until you can have it on more than one device at a time. I had it on my phone, but I spend about 90% of my time on my tablet so I moved it. The problem is about 30% of the time I use this app I'd like it to be on my phone. I was added to a group. I turned off the sound for notifications and it keeps turning the sound back on. If this doesn't change I'm going to leave the group because it is annoying to constantly hear notifications."
126,ernest orhena,4,"I'm downloading this app for the umpteenth time tonight. It keeps auto-deleting from phone. Same thing doesnt happen with other apps. It's a bit frustrating, 'cos I don't know how I can fix this once and for all."
127,Craig Fell,3,"There Are Two Issue with this Update, 1) Again is that you Can't Forward Messages, Pictures etc... Anymore to Broadcast Groups. You Used to be able to. Please Bring back this Option Again. 2) Autoplay of Messages is Annoying, as when you want to reply & listen to One Message at a time. Please Can This be Done away with, or at least have an option to decide if you want Autoplay or play when you push play."
128,Haidar Alfarouq,3,"since last update, some feature gone error and bugging, such as whatsapp status, push notification, and typing. when I watch statuses, they're glitches so when I want to stop or close it, they don't, sometimes the notifications won't appear, and sometimes they appear in unusual positions"
129,SweetCorn,1,"Hey WhatsApp! I have a few problems about your app. First of all, since the new update I keep getting kicked out of largly populated groups and other normal chats too. My keyboard disappears, then my whole screen goes black! My only suggestion is, if we delete our abouts we shouldn't have to reinstall the app to get them back! We should be able to restore all previous abouts, right?"
130,Bushra Bi,5,"I love this App. Its the only calling/messaging app I use. Can u please add new features? For example.. while video calling if someone takes a screenshot, u get notified immediately with the screenshot coming directly in your chat. Also if anyone takes screenshot of ur status, u get notified the same way with the message popping up in the chat. Can u please add this feature so we know when anyone takes screenshots of our video calls/status? Thank you :)"
131,Sukhim,4,"I found a one problem while using Watsapp that is, when we we're trying to send a photos by converting to a DOC but it only consist one photo to a document or PDF if you give an option where we can compile a numbers of photos to a one DOC or in the form of PDF it will be easier to students, office workers and others. If this option is available on Watsapp then we don't have to download another app for PDF converter/ compilation of several photos to one document or PDF. Thank you Regards Bipin"
132,Rukmani Desikan,1,Every few days asking to up date but then requires lot of additional space to do so. It should try to up date with minimum additional space requirement The app should find means to improve in that diection. Why does it happen only on this phone. While such requirement up date is not Happening in other phones.?????!!!!!
133,Rehana Tahir,4,"I have been using this since very long time but recently there is some issues with it I think...and the problem is with broadcast messages...before a while it stopped showing when I forward any message i switched to ""share""..but from today it stopped as well..i don't see my broadcast list even when i press on ""share"" please fix this issue other than that it's all good"
134,Mashayach,4,"App is great. Bt 1 thing i would like, is the ability to delete a message ""For everyone"" at anytime! That option is limited, I'm not sure why, bt it would be good to delete ur own text for everyone at anytime always. & maybe add more filter options on status post 2 be more creative with the things we post \U0001f937\U0001f3fe\u200d\u2642\ufe0f. & can even add an option to have ur status seen by anyone tht has WhatsApp, without necessarily having their contact info without being able 2 contact them unless permission given."
135,Akshat Jindal,1,I have been raising the complaint so many times regarding the issue with the voice messages playing by default in call rather than speakers on samsung S10. And you guys keep on asking to share screenshot. Do you have any brains. How will my screenshot help you show the issue. I have even sent you a screen recording but you guys won't respond. Are you ever going to solve this bug or not. Samsung says the bus is with whatsapp app as it works fine in other apps.
136,MARK COLASSO,3,It's an awesome app for communication. But ever since its last update I don't what has happened to this app. If I start to text someone the keyboard just disappears and it goes back and there also a problem with status switching if I want exit from status it just shows me the next persons status. Please do fix this as soon as possible \U0001f64f.
137,Yvonne Amar\xeda Jos\xe9,1,"The new update keeps stopping on my phone and the app barely works well since the most recent update. It was working wonderful before. Now I'm just pissed cos I'll be viewing status or typing a message and in the middle, it says whatsapp has stopped and it loads again by itself and I have to start again. It literally has a timeline of 3mins I can be on the app. No other app does this and they are all updated too. Instagram works fine."
138,koso panty,1,"This was literally my go to app for calling overseas. As of lastnight when I call my partner on WhatsApp we can't hear each other AT ALL and it's only when i we call each other. when we call other contacts on WhatsApp we can hear each other. For some weird reason it only does this when i call my partner. We've reset our phones, we've both delete the app and got it back and still the same result. very disappointed \U0001f61e"
139,Ishwah Akram,1,Since i updated the version the camera is not working. Every time it says camera failed when i take a picture. Moreover the voice and video calling quality has been destroyed completely. It's creating a mess. Kindly fix it as soon as possible or give an option to return to the previous version
140,latest gist,3,Amazing...I will have given it a five but because it does not have some features i feel will not only cause an increase in whatsapp users but also fund more money for the brains behind WhatsApp.... how about including a live video features whereby all my contacts list gets a notification just like Instagram does.....i will also like an update on last seen features....whereby i can hide my last seen from a particular person or a particular set of people not the whole of my contacts list....
141,mahesh kumar,2,I am not sure whether the latest update is causing this problem or not. When my phone screen goes dark in the middle of a voice call then the other party cant hear anything I speak. I have to keep the phone active that too on this app. If this is one of the new feature they have added then its too bad.
142,Natasha Gray,5,The app is very nice. I wish you guys would come up with something new for example: When a contact sends a message or emoji to avoid replying back. We could simple double tap the message and it automatically indicate that we like the message with a ❤. Instead of replying back.
143,Dilip Gusain,5,"Simple. Secure. Reliable messaging. With WhatsApp, you'll get fast, simple, secure messaging and calling for free*, available on phones all over the world. \ufffc * Data charges may apply. Contact your provider for details. WhatsApp Business App WhatsApp Business is a free to download app that was built with the small business owner in mind. Create a catalog to showcase your products and services. Connect with your customers easily by using tools to automate, sort and quickly respond to mess"
144,TIGER 22,5,"All are Excellent. But only Two Bugs needs to be Fix. (1)The Bug is that some of the videos cannot be download. So please fix this problem and (2) When I type something the whole app stop and black screen appear and the app sometimes quit, and always when I type or when I see chats, black screen appear and whole app exits itself. So please fix this problem so we can use this app. Please Fix this."
145,Achside Cough,1,"Honestly I love this app and I have been using it for awhile ,but I got a new phone and put my old sim card in it and right now it is not sending me the verifying code I have been waiting for so long and did all the steps that was given to me when I clicked help ,I clicked on \u300acall me\u300b but got nothing and I'm sure I'm not the only one suffering from this problem."
146,J. Javier Perez,1,"I have a quite new phone at the moment (Samsung Galaxy Note S9) as well as some older ones (Samsung, Asus, Xiaomi). The following problem only happens with Whatsapp (not with Skype, Telegram, etc. nor with regular calls): I'm in the middle of a call with no issues and all of the sudden I notice the other person (being the caller or the receiver of the call) stops hearing me at all. I have to hang up and call again. THIS IS VERY ANNOYING!!! I've tried with different headsets, old and new, wired or bluetooth but the problem remains. The moment I'm sure most of my contacts are available in another platform, I will stop using Whatsapp. TERRIBLE!!! (since acquired by FB)"
147,Zeenat Salmani,2,"Dear creater, I have a problem to download media It always shows that "" the download was unable to complete, please try again later"" and also shows that ""this media file does not exist on your internal storage"" please help me becouse there is a lot of internal storage in my device and also there is no data network problem that I have already checked. Please solve this..........."
148,Yuichiro Hyakuya,4,Well it's better tha other chatting apps..It's easy and convenient to use..As well as we can share images and files make groups see how people update their status etc..The only problem is that while sending and receiving file it slowly eats up your internal storage and slowly reaches the app size to GB which slows down the device for certain operations..
149,Victor smart SOG,3,"Since i updated the app to this new version, my voice notes and the once I receive from friends keeps making a disturbing notification sound when I hit the play button to listen to the voice note. And the effect of the interrupting notification sound would not let me clearly hear what the voice note contain... Can you pls fix that in the next update..... Allow us listen to voice notes as an audio file rather than a voice call format that would make it be affected when you block the call sensor."
150,Tanzi Spencer,3,"Group messages does not tell you who in the group has seen a message Photos are not visible unless they get download and saved on your phone, so frustrating as if set to auto download (default setting) it saves stupid gifs and sticks to your photos as well, these are just silliness that might make you laugh for a second in passing in a group chat not something I want to have to spend time deleting off my phone, if you disable this you only see a blurred version of photos in chats!"
151,Lucy T,3,"Hello. Whatsapp is usally good, but since this morning my calls have not been working. When I facetime people, they can't hear me and I can't hear them. Yet when I facetime people on messenger, the sound is perfectly fine and we can hear eachother. I've tested my speaker and it works. I've uninstalled WhatsApp, reinstalled it, updated my phone, restarted my phone. I've tried clear caching it but nothing seems to work. What should I do?"
152,Sarika Jain,2,The app is working very bad since last update I can't download any photo or video and status updates. It says the download was unable to complete and I need to restart my phone and I face this problem every week. It also has very bad quality of video calling and it takes too much time for sending videos.Please fix this issue.
153,Ashutosh Deaf,5,"I have noticed that Whatsapp Messenger notifications come up similar to how Facebook Messenger notifications are delivered - with a chat head. This is a circle with the messenger's profile picture showing, and clicking on it opens a small window with the message shown. I preferred when this chat head was never there, and I got to see a preview of the message for a few seconds just below the top of the screen when a message arrives. I have tried turning off pop-up notifications on WhatsApp, but"
154,"Fun, Study and challenge along with Aditi Seth",4,"This app is excellent but the one and onlydrawback with this app is that when I want to know about something of someone and date when this something has to my phone was about 3 months ago so I just have to scroll and scroll for long time only for searching it and in the about section I opened the media, links and docs doesn't appears there because the date is very old, please solve my problem and make a sitting in it that I only have to choose the date and can get the information of that date."
155,Kevin Koshy Varghese,1,"STOP OVERCOMPRESSING STATUS IMAGES AND VIDEOS. Most of us have high speed 4G/5G/WiFi and we don't care about data usage. For those who use 2G/3G or have a limited data plan,add a data saver feature and compress their images & videos. The rest of us need HI-RES IMAGES AND VIDEOS. We paid a lot of money for good mobile camera then whatsapp just destroys the image quality."
156,Seyed Fariborz Zarei,1,"Ever since I updated the new version, I cannot use whatsapp for more than one minute. Whatsapp has stoped, restarted. I caanot type a reply to my contacts, because it goes out and closes. I have tried everything that you can imagine, nothing can work (restarting, deleting extra memory, uninstalling and reinstalling, ...)."
157,nassahramomezah nassahramomezah,3,"Hi, I have the same problem that many people have since the last update. You should solve this problem as soon so possible, as it affects your credibility badly. I can not access any data in my chat history."
158,Shreyanshu kumar Roll no. 66,1,This app has gone the worst app in my phone after a last update. In first I think that it's my phone problem but after that I know that this problem is coming from my all the phones. When we use whatsapp its quit automatically. Now a days my exam is going on and I am facing a lot lot of problems with this worse app. Now a days many schools are using whatsapp for their online study and all students face problems because of this app and I also. So make this app correct otherwise I'll delete this
159,Lei lo,3,"It would be nice for the autobackup feature to be optional (or allow a manual choice for backup times etc) so my phone doesn't autobackup on low space and completely erase all of my messages. This has happened several times now, before i could make space to back up and i keep losing highly important messages for classes etc because it just chooses to delete everything without my permission. Please, look into the potion of allowing users to choose their backup time instead of forcing one at 2 am."
160,KRISH GAMING,4,I'll rate this app 4 star because when I tried to send a video it always keeps telling me retry retry and after 4-5 retry the video is sent half and approximately after 45 mins the video is sent and the downloading of the video is also very slow please fix this problem otherwise it is a great app for communication.
161,Pamula Jacob,2,"Whenever I open the app, it is being stuck and the home button ad the power button are also not working. I have to take the battery off and put the battery back and onn it again. This is very disgusting. Other than that the app is very good in everything. Better if there is dark mode. My device is Samsung galaxy grand prime"
162,Emma Kerubo,1,"This app is terrible since i updated it the screen goes off n on . When im typing or doing a voice note, the screen goes of n its not once or twice nooo.. its every time i type or call or doing voice note and its very annoying because you have to repeat typing n typing .please do something about this because its arritating i swear."
163,Steven,1,I've recently acquired a Samsung S20 Ultra. The notifications are not working as they did before on my Samsung S8 Plus which was a lower version of Android. These include the lighting notifications when I receive texts. This is on Android 10. I've reinstalled and done all the settings but still nothing works. Adding to this calls are consistently cut even with good WiFi and mobile signals.
164,Aashish jha,3,"It's nice app, i've been using it from last 5 years , but since the last update , it is crashing automatically , a 23 Mb app takes 700-800 mb space in ram and the highest usage of cpu upto 52%. What the hell you did in last update screen frezess just in 30 sec and after that things remain standstill till it don't restart , we want whatsapp team to fix it as soon as possible ..."
165,Zia B,1,WhatsApp is draining my phone battery rapidly \U0001f611 especially on a video call that lasted an Hour and a half it drained 45 percent which is crazy. Have uninstalled it and then reinstalled let's hope it behaves now. The platform generally also is glitchy to use. I'm enduring the troublesome app due to work requirements. Not a fan! Kindly fix and resolve the challenges faced by users especially the Battery drain issue. Thanks \U0001f64f\U0001f3fb
166,samir undirwade,2,"Update in review, Now \U0001f447problem is resolved and the second problem have come with status viewer, it means WhatsApp is not gone work without having some problems. \U0001f92c \U0001f449When I try to reply from notification panel, phone quickly restarts, while other apps like fb massanger are working well. I always have any problem with this app, one goes and second comes."
167,Meena Shekh,5,"It is good and nice app because it helps to communicate with contracts persons. It helps to send file like a photos and information. We talk in WhatsApp with the help of voice, massage and video call in this aap. You shared video to contracts persons. The WhatsApp provide many facilities in this app you can enjoy the aap. This aap use in all over the world because it is important every person's. It is very low mb aap not effect of hang on your mobile phone. And another things it is system its nc"
168,9D09 Harshvardhan Chavan,3,The app is good for chit-chat but the thing that made me to improve this app is that see I will give you a example: If you have send me a pdf if 1 to 2 pages and you know that I have received it by the double blue ticks. But you don't know that I have really opened the pdf and see what you have send. You understand na? So plz try to improve this And one. More reason is that we can't send file more than 100mb it's a big problem for me. So plz try to improve this also.
169,Isla Cassidy,4,"This is an AMAZING app. U can text people and u don't get random calls or texts for anyone u don't know apart from people that have ur number and u don't have theirs. The reason why I only gave 4 \U0001f31f is cos it does take a while to send things to people that r far away or in a different country. Sometimes the call connection is bad to if they're only round the corner which is frustrating. It also only sends texts if u have WiFi connection or mobile data which I dont. Overall a great app, get it!!"
170,Kabyasree Hazarika,1,"We are getting updates daily but nothing really seems to change... I'm facing major problems in the smooth working of the app... since the last few days the app shuts on it's own... i cant open few chats, like it takes a really long time to open a particular chat and a lot more issues... please fix the problems as early as possible."
171,Sof\xeda,1,"I have a problem with WhatsApp, since it began the September I can't write, read or listen an audio or video without show me a message "" WhatsApp keeps stopping"" each 2 minutes or less. If I already restarted, installed and uninstalled the application more than 7 times and I cannot perform the backup. Please solve this ""problem"""
172,Az Yusop,1,"Since the latest update, this apps give me so much headache..the apps crashes frequently..and the most annoying part is when i am typing the words, the apps suddenly freeze and goes blank..all the words i typed dissappeared..come on developer...do something about it..!! Im not gonna change the rating if this issue is still not solve!"
173,Shubham Soni,1,"I'm giving one star rating because they don't resolve problems. Since my last two updates my media visibilty has been set to no by default. I had to change it for all my contacts to yes, it was really frustrating as well as irritating to do that for nearly 600 contacts. \U0001f624 Please WhatsApp look into this, what is the reason behind such issue."
174,Nitin Shetye,3,Please add on feature that will tell the caller that the person u r calling is offline and cannot receive calls(when data is off) on receivers phone. Even if the data is off on receivers phone the call keeps on ringing and the caller feels calls are ignored. Please fix this. Thank you
175,BARNALI DAS,5,"It is my first review on play store. To me it is the best app, but sometimes it stops horribly and that makes my phone hang very badly I had not updated it for 2 years but now when I updated it, many new features came. I like this app, the most horrible thing is when do video call mainly group calls if the network is high someone's picture will be hasy. Though it is also helpful as to country to country no app works for communication except for whatsapp that's made me happy.."
176,shweet summu,2,The whastapp worked really well until my last update as my screen freeze whenever I type a message or listen to any voice recordings.. I have installed and then unnstalled again evrythting but it's still of no use! The screen freezez every single time when you are typing and it suddenly gets freezed ! Hereby requesting whatsapp to rectify the issue at the earliest.
177,Christo Kruger,5,"How can I even approach this? The Application is the best and in becoming such a massive undertaking to ensure bugs and all fault loggs are thoroughly examined an patched before the next update. No other companies had the foresight or launched any breakthrough technology and improvements to even try and compete with WA even before it was acquired by FB . So I think an automatical rating of best app ever would do,. No other company has the resources to be able to launch anything close."
178,Jayanta kumar,1,From the last update whatsapp is not working . It freezes frequently . I am not able to keep it open for more than 2 min or so . I am a student and I am facing problem in doing my schoolwork due to this problem . Please fix it as soon as possible . Its my humble request . Please
179,or 1324,4,"This is a great communication app but I found one annoying bug: When I connect to whatsapp web when my phone's language is hebrew and try to write the ``` effect, only a litte part of the effect is happening... I see the different font but the characters do not grow... I found this bug when I built an app that convert emojis and text to text from those emojis. I used the ``` sign to minimize the different between each letter on different screens but when I connected to web it looked wierd."
180,Malaika Zafar,5,"Dear Sir/Ma'am, I couldn't able to make calls to few of my friends. If I call them, they couldn't hear my voice and I couldn't hear their voice. But if they call me on some other cell phones both of us can hear eachother. But if I call some other people there is no issue. Kindly please inform me its solution. I'll bee thankful to you."
181,Vinay Suthar,1,"WhatsApp is really messing up with my phone Samsung galaxy A7 2018. Whenever i open whatsapp to see messages, I just can't go back again. Whatsapp just freezes my phone's all three touch buttons-minimize, home and back button. Please fix this. I am dealing with it since so many months and now i am fed up of this."
182,Ahamed Haseef,1,What the hell is going on. Even I cannot read an article . For the very 1st I thought my mobile was hacked and reset my mobile and install the WhatsApp again and than again same issue . I dunno why. Even when I'm open a message also its getting struck and then going to the main page.
183,Mohammed Zahoor,4,"Whatsapp is good,but I wish it could have the features of YoWhatsapp created by an unknown person.It would be better if it had the features like airplane mode,showing the last seen and online on the front screen,separate column for groups,directly messaging a number feature,it would be really a great thing.Unfortunately,the YoWhatsapp is from an untrustworthy source"
184,Shubham Sisodia,4,"Hey! The app is best, there's no doubt. But past few days (10-12 days) my what's app DP is unable to update. Whenever I update DP it automatically removes the photo from DP within few seconds. I had also mailed the problem but there's no action taken. Please fix this problem ASAP. Regards !"
185,Mehar un Nisa,4,This is really ridiculous. With the last update I am not able to receive any notifications of messages and even I am not able to receive any call unless I am online on whatsapp. And sometimes even being online I don't receive any chat notification. I wanted to give 5 stars because this is my favorite app but now I am giving only 2 because these problems are really annoying me. Please fix it.
186,knowledge about everything,4,Good but often stops during video call. I can't connect to my father while calling nd other contacts whenever I call it works good. Nd my storage space is good. Fix this issue and yeah you must add one feature also just like status option is provided to whom of the contacts I want to show my profile. Bring Filter option like snapchat . Good but often stops during video call. I can't connect to my father while calling nd other contacts whenever I call it works good. Nd my storage space is ok
187,SAGAR BHARDWAJ,1,It's not being working properly .As I am making a whatsapp account it does not send any verification code and we see on screen something went wrong please go to google play store and download the latest version of whatsapp I have done it but it doesn't work . That's why I have given only one star
188,Manmohan Mundhra,3,"Hi, I'm unable to backup my whatsApp chat while I'm I'm Roaming. I get error msg that ""You're currently roaming. Wait untill you're no longer roaming or connect your phone to Wi-Fi to back up to Google Drive"". In my phone setting, mobile data usage is allowed even while roaming. Please resolve it. Thank you."
189,Mihir Thakur,5,"It's the best messenger app. I love it, as it's lockdown outside it helped me to communicate with my friends through group. But I also want a new feature that you can add the option to give group status. And give status reply in the group. I wish that you will add these options. Thank you 😊"
190,Leela Amma,1,"App is good but there is a problem, because my another WhatsApp number is banned I don't know why! Then I send Gmail to Whatsapp support and they replied to me they say, We have reason to believe your account activity has violated our terms of service and decided to keep your account banned. We received a large number of complaints of your account and any in order to protect our users' privacy, we won't disclose the nature of the complaints. And they say to me. WhatsApp is suck \U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44f"
191,AMAN VERMA,4,"My phone does not have fingerprint scanner. So, I am unable to lock my whatsapp. Installing a third party app is too slow and sometimes don't work. So, give a feature of pattern lock. It will be very usefull. I also want to give five stars. Add a pin or pattern lock. I need that. And then i will surely give five stars."
192,Jojie Arianne,4,I really like this messaging app. I just hope that there is a search button for stickers. I could not use much because I still need to choose manually. Edit: I sometimes see a search button on the stickers but it always disappears after using it.
193,S. Ryo,1,"Overall,a good app. But since the latest update, it has gotten really laggy. Whenever I try to type a message,it says ""whatsapp has stopped working "" and closes the app. And happens every 2 minute!Please fix this as soon as possible..."
194,Shahriar Niloy,2,Although i liked it\u2019s algorithm but still 2 star because it was riping my ears of! The sound of RECONNECTING is not only annoying but it also damages the ear. Literally the operating team needs to be more practical about this. Imagine someone is on a audio call & this terrible sound occurs! It just bursts the ears! Fix it man!!!
195,Fish Leong Sok Yee,3,"Can provide option that download the media in group chat folder? Example, usually all pictures save in default folder name \u300aWhatapp Picture\u300b, users can provide options that let user decide the pictures of group/ individual chat room saving in different folder names. It will reduce the time of users to sorting the media."
196,Lebogang Mokoto,3,"It's honestly an okay app when it feels like it, I truly enjoy the video calls though because they give me no problems unlike calling someone straight, it cuts and pauses a lot then blames it on network. Also it would be amazing if in the next update they just add a feature where you can have different themes for each chat."
197,madival dandainavar,4,"It's great messaging app no questions there, but I really thing whatsapp needs report option whenever a person receives a message from unknown number along with existing block option....by that way we can find spammers or people who try to do online fraud can be caught easily and then whatsapp can do a permanent ban on those numbers"
198,ART NOKIA,2,They are not heard about my voice during whatapp voice or video call. I gave microphone permission to the application and reinstall the application but it could not help. I'm facing this issue for last months. All other video calling and voice calls working fine. I'm facing this issue only in Whatsapp. Please solve this. My device is nokia 8.1\U0001f64f\U0001f64f
199,Kalyani Rao,3,"The app has been causing issues with video calls. If I'm on an audio call and want to switch to video call, the screen goes all black, so I can neither accept incoming video call, nor see anything else on the screen. Can this be fixed please? The issue is happening since the last 3 days."
200,Life with Alaina,5,"Awesome app! Best place to talk to your friend! The only thing that could be improved is the call and video call, its too glitchy. But over all such a good app to use! \U0001f496\U0001f496\U0001f496 you can send videos, locations, photos, links, music and much more!!! Totally reccomend this app if someone wants to talk ro their family or friends! \U0001f496\U0001f496\U0001f496 oh! And btw you can also send GIFs and more! \U0001f496\U0001f496\U0001f496"
